Date, Open, High, Low, Close
03/22/22, 106.65, 109.75, 103.00, 106.05
03/21/22, 106.50, 115.50, 101.10, 106.65
03/18/22, 102.75, 112.50, 100.88, 106.50
03/17/22, 98.00, 132.10, 96.50, 102.75
03/16/22, 106.50, 117.03, 96.00, 99.00
03/15/22, 122.00, 123.07, 104.00, 106.50
03/14/22, 134.00, 134.00, 110.15, 122.00
03/11/22, 133.50, 135.50, 113.13, 134.00
03/10/22, 137.50, 140.00, 116.04, 133.50
03/09/22, 127.50, 139.25, 115.70, 136.50
03/08/22, 143.00, 143.00, 121.00, 127.50
03/07/22, 106.50, 158.30, 106.50, 143.00
03/04/22, 109.50, 119.00, 100.22, 106.50
03/03/22, 102.75, 118.69, 97.50, 110.00
03/02/22, 108.51, 118.72, 98.10, 102.85
03/01/22, 108.00, 118.50, 89.40, 109.49
02/28/22, 83.86, 114.00, 83.86, 108.01
02/25/22, 84.36, 85.92, 81.73, 83.86
02/24/22, 81.43, 89.87, 81.33, 84.37
02/23/22, 78.83, 81.70, 78.56, 81.41
02/22/22, 80.20, 80.93, 78.51, 78.83
02/21/22, 77.44, 80.25, 76.18, 80.25
02/18/22, 76.17, 77.49, 75.64, 77.35
02/17/22, 75.09, 76.69, 75.07, 76.26
02/16/22, 75.46, 75.55, 74.85, 75.16
02/15/22, 76.50, 76.78, 75.12, 75.46
02/14/22, 76.79, 78.17, 76.19, 76.50
02/11/22, 75.02, 77.59, 74.82, 76.79
02/10/22, 74.82, 75.13, 74.27, 75.02
02/09/22, 75.04, 75.18, 74.49, 74.80
02/08/22, 75.41, 75.65, 74.99, 75.04
02/07/22, 75.74, 76.14, 75.38, 75.41
02/04/22, 76.20, 76.53, 75.65, 75.74
02/03/22, 76.21, 76.82, 75.98, 76.26
02/02/22, 76.89, 76.91, 75.69, 76.22
02/01/22, 77.32, 77.74, 76.40, 76.89
01/31/22, 78.19, 78.19, 77.14, 77.32
01/28/22, 77.98, 78.33, 77.39, 78.19
01/27/22, 79.15, 79.73, 77.40, 77.96
01/26/22, 78.70, 80.33, 78.53, 79.15
01/25/22, 78.91, 79.34, 78.31, 78.70
01/24/22, 77.38, 79.49, 76.99, 78.82
01/21/22, 76.18, 77.78, 76.13, 77.59
01/20/22, 76.16, 76.86, 76.00, 76.18
01/19/22, 77.03, 77.15, 75.85, 76.16
01/18/22, 76.53, 77.12, 75.84, 77.03
01/17/22, 76.24, 76.79, 75.69, 76.33
01/14/22, 76.49, 76.97, 75.61, 76.24
01/13/22, 74.62, 76.62, 74.47, 76.48
01/12/22, 74.41, 74.90, 74.31, 74.58
01/11/22, 75.01, 75.16, 74.29, 74.43
01/10/22, 75.45, 75.88, 74.85, 74.98
01/07/22, 76.31, 76.52, 75.09, 75.72
01/06/22, 76.78, 77.34, 76.01, 76.31
01/05/22, 75.14, 76.89, 75.05, 76.78
01/04/22, 74.49, 75.58, 74.40, 75.24
01/03/22, 74.79, 75.58, 74.18, 74.57
12/31/21, 74.69, 75.42, 74.49, 74.79
12/30/21, 73.96, 75.14, 73.90, 74.48
12/29/21, 73.60, 74.20, 73.55, 73.96
12/28/21, 73.42, 73.88, 73.34, 73.60
12/27/21, 73.66, 73.70, 73.11, 73.42
12/24/21, 73.44, 73.74, 73.14, 73.66
12/23/21, 73.68, 73.69, 73.19, 73.42
12/22/21, 74.00, 74.18, 73.60, 73.67
12/21/21, 74.27, 74.27, 73.72, 74.01
12/20/21, 74.17, 74.49, 74.07, 74.27
12/17/21, 73.77, 74.27, 73.57, 74.17
12/16/21, 73.57, 73.87, 73.36, 73.83
12/15/21, 73.79, 74.37, 73.56, 73.57
12/14/21, 73.50, 73.91, 73.41, 73.81
12/13/21, 73.41, 73.70, 73.26, 73.49
12/10/21, 73.68, 73.78, 73.27, 73.45
12/09/21, 73.55, 73.79, 73.48, 73.68
